id,slovak_name,english_name,latitude,longitude,venue,description_slovak,description_english,link
lien,Lieň sliznatý,Tench,49.144518,20.979643,Štrkoviská Rožkovany,"Lieň sliznatý je síce nepôvodný druh v našich vodách, no napriek tomu je u nás rybou široko rozšírenou. Je to kvôli jeho prispôsobivosti a nenáročnosti. Zvyčajne dorastá do dĺžky okolo 50 cm a hmotnosti okolo 3 kg. Výnimočne môžeme uloviť aj liene väčšie než 60 cm. O lieňoch je známe, že rastú veľmi pomaly a to aj v prostredí bohatom na potravu. Lieň sliznatý je nenáročný na obsah kyslíka vo vode. S obľubou vyhľadáva úseky so slabým tokom, bahnitým dnom a preferuje plytké vody. Cíti sa v bezpečí medzi hustým porastom, tým pádom sa stáva často obeťou útoku šťuky. No má proti nej účinnú zbraň a tou je jeho nenápadnosť a spôsob života, kedy mnoho času trávi zahrabaný v bahne. Lieň vtedy upadá do akejsi letargie, takto trávi letné horúčavy a prežíva zimu.","The tench or doctor fish (Tinca tinca) is a fresh- and brackish-water fish of the order Cypriniformes found throughout Eurasia from Western Europe including the British Isles east into Asia as far as the Ob and Yenisei Rivers. It is also found in Lake Baikal. It normally inhabits slow-moving freshwater habitats, particularly lakes and lowland rivers.",https://www.youtube.com/watch?v=dlmb6yMuUiU
lipen,Lipeň tymiánový,Grayling,49.279074,20.863672,Poprad č.2 - Orlov,"Lipeň tymiánový zrejme patrí medzi pôvodné druhy na našom území, je rozšírený pomerne rozsiahle, i keď dosť nepravidelne. Nájdeme ho najmä v strednej, západnej a východnej Európe. Na juhu Európy sa Lipeň nevyskytuje. Zaujímavé je, že v Škandinávii a v Rusku sa nachádza aj v jazerách, neresí sa však len v riekach. Lipeň tymiánový dosahuje veľkosť zvyčajne najviac 50 cm a hmotnosť 1- 1,5 kg.","Thymallus thymallus, the grayling or European grayling, is a species of freshwater fish in the salmon family Salmonidae. It is the only species of the genus Thymallus (the graylings) native to Europe, where it is widespread from the United Kingdom and France to the Ural Mountains in Russia, but does not occur in the southern parts of the continent. It was introduced to Morocco in 1948, but it does not appear to have become established there.",https://www.youtube.com/watch?v=qpcUTFXg9iY
mien,Mieň sladkovodný,Burbot,48.884295,21.005375,VN Ružín,"Mieň sladkovodný je u nás nie príliš známym druhom, no beztak je rybou veľmi zaujímavou a podstatne odlišnou od ostatných tunajších rýb. Uvádzame preto o čosi dlhší článok a zároveň Vám prajeme príjemné čítanie. Mieň sladkovodný je ryba široko rozšírená takmer po celom svete. Najlepšie sa mu darí v miernom pásme severnej pologule a smerom na juh jeho početnosť klesá.","The burbot (Lota lota) is the only gadiform (cod-like) freshwater fish. It is also known as bubbot, mariah, freshwater cod, freshwater ling, freshwater cusk, the lawyer, coney-fish, lingcod, and eelpout. The species is closely related to the marine common ling and the cusk. It is the only member of the genus Lota. For some time of the year, the burbot lives under ice, and it requires frigid temperatures to breed.",https://www.youtube.com/watch?v=QFoq3BWHR18
mrena,Mrena severná,Barbel,49.099057,21.098195,Torysa č.3 - Sabinov,"Mrena severná sa vyskytuje na väčšine európskeho územia, pomerne rozšírená je aj v rámci Slovenska. Na našom území sú bežné úlovky mreny od 25- 50 cm, rekordné exempláre majú 70, zriedka i 80 cm. Najväčšie úlovky dosahujú dĺžky vyše 1 metra a hmotnosť okolo 10 kg ( v mimulosti boli takéto mreny severné ulovené aj u nás). Rast mreny je pomalý. Samce rastú pomalšie a dožívajú sa aj výrazne kratšieho veku, mreny cez 50 cm sú už výhradne ikernačky.","Barbels are group of small carp-like freshwater fish, almost all of the genus Barbus. They are usually found in gravel and rocky-bottomed slow-flowing waters with high dissolved oxygen content. A typical adult barbel will range from 25 to 100 cm in length and weigh anywhere between 200 g and 10 kg, although weights of 200 g are more common. Babies weigh 100–150 g.",https://www.youtube.com/watch?v=dJ9XTHaz92k
nosal,Nosáľ sťahovaný,Vimba Bream,49.279074,20.863672,Poprad č.2 - Orlov,"Nosáľ sťahovavý je v našich vodách rybou v podstate bez akéhokoľvek hospodárskeho významu, Jedná sa o pôvodný druh ale oproti minulosti sú jeho počty značne preriedené. Po Európe je nosáľ široko rozšírený, no taktiež v menšom množstve ako kedysi. Bežné úlovky majú 20- 35 centimetrov, kapitálne kusy dorastajú až do cca 55- 60 centimetrov a hmotnosti okolo 3 kg. Nosáľ sťahovavý rastie pomerne pomaly, v treťom roku má dĺžku v priemere 12- 14 cm. Dožíva sa 8- 10 rokov, výnimočne max. 13.","The common nase (Chondrostoma nasus) is a European potamodromous cyprinid fish. It is often simply called the nase, but that can refer to any species of its genus Chondrostoma. Another name is sneep.",https://www.youtube.com/watch?v=aUtMZiRbhkE
ostriez,Ostriež zelenkavý,Perch,49.099057,21.098195,Torysa č.3 - Sabinov,"Ostriež zelenkavý je veľmi kontroverzne ponímaná ryba, jedny ho považujú za rybu plevelnú, pre iných je veľmi atraktívnou, bojovnou, ba i vyhľadávanou rybou. Ostriež je jedným z našich pôvodných druhov. Po svete je široko rozšírený, u nás v Európe sa nachádza takmer všade okrem niektorých škandinávskych krajín a krajín na juhu kontinentu. Zvyčajne úlovky ostrieža predstavujú kusy do 35 cm. Ostriež zelenkavý však môže dosiahnuť aj dĺžku okolo 55 cm a hmotnosť 3 kg. Rast ostriežov závisí predovšetkým na životnom prostredí, pri dostatku potravy rastú rýchlo, no pri jej deficite veľmi pomaly. Niekedy dokonca ani jedna rybka z hejna neprekročí dĺžku 20 cm. V našich podmienkach sa ostrieže zvyknú dožívať okolo 10 rokov, no extrémne dlhoveké ostrieže sa dožili aj 18- 20 rokov. S narastajúcim vekom prevažujú v populácii samice nad samcami. Čím je ostriež zelenkavý starší, tým je jeho telo výrazne vyššie.","Perch is a common name for fish of the genus Perca, freshwater gamefish belonging to the family Percidae. The perch, of which three species occur in different geographical areas, lend their name to a large order of vertebrates: the Perciformes, from the Greek: πέρκη (perke), simply meaning perch, and the Latin forma meaning shape. Many species of freshwater gamefish more or less resemble perch, but belong to different genera. In fact, the exclusively saltwater-dwelling red drum is often referred to as a red perch, though by definition perch are freshwater fish. Though many fish are referred to as perch as a common name, to be considered a true perch, the fish must be of the family Percidae.",https://www.youtube.com/watch?v=W4-STZIrxzo
pleskac_v,Pleskáč vysoký,Bream,48.878272,20.996064,Hnilec č.1 - Jaklovce,"Jedná sa o pôvodný druh na našom území, dnes je rozšírený takmer v celej Európe. Pleskáč vysoký dorastá do dĺžky 40- 50 cm, no najväčšie ulovené pleskáče dosahovali vyše 90 cm a hmotnosť okolo 7 kg. Rast pleskáča vo veľkej miere závisí na životných podmienkach, ideálne sú pre neho teplé rozľahlé vody s dostatkom potravy. V prípade, že sa pleskáč vysoký premnoží, môže začať vytvárať populácie zakrslých pleskáčikov, kedy ich dĺžka nepresiahne ani 30 centimetrov. Pleskáč vysoký sa môže dožiť slušného veku okolo 30 rokov, no to jedná sa o ojedinelé prípady, väčšinou sa dožije len zhruba polovicu. Jeho sfarbenie sa počas života mení, mladé kusy sú svetlejšej farby, postupom veku postupne tmavnú do typického šedožletého/ bronzového odtieňa.","The common bream, freshwater bream, bream, bronze bream,or carp bream(Abramis brama), is a European species of freshwater fish in the family Cyprinidae. It is now considered to be the only species in the genus Abramis. The common bream's home range is Europe north of the Alps and Pyrenees, as well as the Balkans. It is found as far as east as the Caspian Sea, the Black Sea, and the Aral Sea. The common bream lives in ponds, lakes, canals, and slow-flowing rivers.",https://www.youtube.com/watch?v=XlkhOkssHhk
pleskac_z,Pleskáč zelenkavý,Silver Bream,49.144518,20.979643,Štrkoviská Rožkovany,"Piest zelenkavý je hojnou rybou dolných tokov riek i veľkých stojatých vôd na celom našom území. Ide o nesmierne prispôsobivý druh, ktorý je schopný žiť v stojatej vode rovnako dobre ako vystupovať v letnom období do silno prúdiacich úsekov riek.","Blicca bjoerkna is distributed across most of Europe and in adjacent Western Asia. The natural distribution, though, excludes peripheral areas including northern Sweden, northern Finland and Norway, and most parts of the British Isles (except Southern England), as well as the Iberian and Italian peninsulas. Introduced populations occur also in Spain and Italy, for instance. The Asian distribution is in the Caspian Sea and Aral Sea basins and in Anatolian Black Sea drainages.",https://www.youtube.com/watch?v=dL7GCVi-9u4
ploska,Ploska pásavá,Spirlin,49.099057,21.098195,Torysa č.3 - Sabinov,"Ploska pásavá pruhovaná je drobná rybka uprednostňujúca menšie čisté toky lipeňového až mrenového pásma, v ktorých si vyberá plytké prúdiace úseky s tvrdým dnom. Občas sa vyskytuje i v stojatých vodách. Má vysoké nároky na obsah kyslíka vo vode a na čistotu prostredia. Preto na mnohých miestach pôvodného výskytu vymizla a dnes sa vyskytuje len miestami.","Alburnoides bipunctatus, known vernacularly as the schneider, spirlin, bleak, riffle minnow, and others, is a species of small (9-cm average length) freshwater fish in the family Cyprinidae. This fish inhabits rivers with very calm waters, and it eats dead insects and insect larvae, diatoms, and crustaceans. It reproduces during April to June.",https://www.youtube.com/watch?v=BH8G2KmmIkk
plotica,Plotica červenooká,Roach,48.878272,20.996064,Hnilec č.1 - Jaklovce,"Neexistuje snáď rybár, ktorý nikdy nechytil ploticu! Plotica červenooká je ryba veľmi bežná a početná, všeobecne sa jedná o najtypickejšieho zástupcu bielych rýb. Plotica červenooká je u nás pôvodným druhom a stále sa jej u nás celkom dobre darí. Typické úlovky plotíc majú dĺžku okolo 20 cm, no rekordné exempláre dosahujú aj pekných 50 centimetrov a hmotnosť 2 kg. Priemerná plotica červenooká sa dožívá slušného veku 18- 20 rokov.","The roach is a small fish, often reaching no more than about 35 centimetres (14 in); maximum length is 50 cm. Its body has a bluish-silvery colour and becomes white at the belly. The fins are red. The number of scales along the lateral line is 39–48. The dorsal and anal fins have 12–14 rays. Young specimens have a slender build; older specimens acquire a higher and broader body shape. The roach can often be recognized by the big red spot in the iris above and beside the pupil. Colours of the eye and fins can be very pale, however, in some environments.",https://www.youtube.com/watch?v=tL-ISiFFB8g
podustva,Podustva severná,Common Nase,49.099057,21.098195,Torysa č.3 - Sabinov,"Podustva severná sa nachádza v celkom slušnom množstve na území Slovenska a po svete je taktiež široko rozšírená. Napriek tomu treba podotknúť, že kedysi bola u nás výrazne početnejšia. Dnes sa uloví len 20 % z toho, čo sa ulovilo v 70- 80 tych rokoch. Pokles podustiev je zapríčinený ľudskými zásahmi do životného prostredia, budovaním umelých bariér, čo má za následok absenciu prirodzeného výteru, počty podustiev ďalej riedia kormorány a pytliaci, ktorí ich likvidujú počas neresu. Bežné úlovky podustiev majú dĺžku 25- 40 cm, no rekordné exempláre dosahujú aj 60 cm a hmotnosť vyše 2 kg. Podustava severná rastie pomaly, obe pohlavia zhruba rovnakým tempom. Priemerná trojročná podustva na Slovesku má cca 11- 18 cm, v desiatich rokoch má 26- 35 cm. Priemerná dĺžka života je 10- 12 rokov, výnimočne sa dožívajú do 20 rokov.","The nase has a spindle shaped physique, with a blue-grey metallic-coloured scales and orange tail. It has relatively sharp lower lip. Generally, the fish range from 25 to 40 centimetres in length, and weigh about 1000 grams. However, specimens have been recorded up to 60 long and 3 kg in weight. The maximum recorded life span of the fish is 15 years.",https://www.youtube.com/watch?v=p-TbcUGGJ3Y
pstruh_d,Pstruh dúhový,Rainbow Trout,49.099057,21.098195,Torysa č.3 - Sabinov,"Pstruh dúhový je nepôvodný druh, ktorý bol k nám privezený koncom 19. storočia. Dnes je rozšírený na všetkých svetových kontinentoch okrem Antarktídy. U nás je to ryba pomerne vysoko cenená, no v niektorých častiach sveta má negatívne vplyvy (najmä južná Európa, či Austrália)- vytláča pôvodné druhy, buď ich likviduje priamo alebo im preberá potravu. Pstruh dúhový dorastá do slušných rozmerov a pre športový rybolov je vyhľadávaný. Tieto ryby bojujú „ako draky"". Pstruh dúhový u nás zvyčajne dosahuje dĺžku 30- 50 cm, no dajú sa chytiť aj jedince okolo 70 cm s hmotnosťou 6- 8 kg. Medzinárodná rybárska asociácia IGFA považuje za rekord takmer 22 kilového pstruha dúhového, ktorého v roku 2009 ulovil Sean Konrad na brehu saskatchewanského Diefenbakerového jazera. Tempo rastu týchto rýb veľmi závisí od životného prostredia. Vo voľnej prírode je tempo rastu len o čosi vyššie ako u pstruha potočného, no pstruhy dúhové chované v zajatí, intenzívne kŕmené granulami rastú „ako z vody"".","The rainbow trout (Oncorhynchus mykiss) is a trout and species of salmonid native to cold-water tributaries of the Pacific Ocean in Asia and North America. The steelhead (sometimes called ""steelhead trout"") is an anadromous (sea-run) form of the coastal rainbow trout (O. m. irideus) or Columbia River redband trout (O. m. gairdneri) that usually returns to fresh water to spawn after living two to three years in the ocean. Freshwater forms that have been introduced into the Great Lakes and migrate into tributaries to spawn are also called steelhead.",https://www.youtube.com/watch?v=O_TJH7k_G2s
pstruh_p,Pstruh potočný,Brown Trout,49.099057,21.098195,Torysa č.3 - Sabinov,"Pstruh potočný je jedným z pôvodných druhov tunajších rýb. Podľa miesta výskytu pstruh vytvára mnohé varianty, ktoré sa často nápadne líšia tvarom tela i sfarbením. Je to vlastne zakrpatená forma pstruha morského, ktorý ostal na týchto lokalitách uväznený počas poslednej doby ľadovej a za veľa generácií sa úplne adaptoval na sladkovodné podmienky. Pstruh potočný je jedna z geografický najrozšírenejších rýb, nájdeme ho aj v Nórsku, Írsku, Rusku, Indii, Severnej Afrike, Južnej Amerike, či v Austrálii.","The brown trout (Salmo trutta) is a European species of salmonid fish that has been widely introduced into suitable environments globally. It includes purely freshwater populations, referred to as the riverine ecotype, Salmo trutta morpha fario, a lacustrine ecotype, S. trutta morpha lacustris, also called the lake trout, and anadromous forms known as the sea trout, S. trutta morpha trutta. The latter migrates to the oceans for much of its life and returns to fresh water only to spawn. Sea trout in Ireland and Britain have many regional names: sewin in Wales, finnock in Scotland, peal in the West Country, mort in North West England, and white trout in Ireland.",https://www.youtube.com/watch?v=rDBkTXZHPB4
sumec,Sumec veľký,Wels Catfish,48.884295,21.005375,VN Ružín,"Sumec veľký je jedným z pôvodných druhov našich vôd. Vyskytuje sa najmä v stojatých vodách, no výskyt v riekach a najmä tých väčších nie je žiadnou výnimkou. Je to ryba veľmi prispôsobivá, dokonca sa vyskytuje aj v poloslanej vode v oblasti ústia veľtokov.  Sumec nemá na životné prostredie skoro žiadne nároky, predovšetkým však musí mať dostatok potravy. Spolu s jeseterovými druhmi rýb patria k najväčším rybám v sladkovodných tokoch Európy. Sumec veľký dorastá do dĺžky vyše 2 metre, výnimočne však majú kapitálne úlovky (napr. na Dnepri) až 3 metre. Sumec môže dosahovať hmotnosť do  100 kg, do prvého roka života dosahuje dĺžku tela 15 – 20 centimetrov, dokonca druhého 30 – 40 a v treťom a štvrtom roku 50 až 80 centimetrov a hmotnosť 3 kilogramov. Dožíva sa priemerne okolo 20 rokov.","The wels catfish (Silurus glanis), also called sheatfish, is a large species of catfish native to wide areas of central, southern, and eastern Europe, in the basins of the Baltic, Black, and Caspian Seas. It has been introduced to Western Europe as a prized sport fish and is now found from the United Kingdom east to Kazakhstan and China and south to Greece and Turkey. It is a freshwater fish recognizable by its broad, flat head and wide mouth. Wels catfish can live for at least fifty years.",https://www.youtube.com/watch?v=r7SxZrGXYRQ
